ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,10MA,30MA,MACD,MACDsignal,MACDhist
002770.SZ,20200819,1.94,1.95,1.9,1.92,1.95,-0.03,-1.5385,270582.2,52176.28,1.9119999999999997,1.903,1.889,-0.06328931547629213,-0.10806131545363802,0.04477199997734589
002770.SZ,20200820,1.91,1.93,1.89,1.89,1.92,-0.03,-1.5625,169223.08,32247.7,1.8940000000000001,1.903,1.889,-0.058530546449334864,-0.09815516165277739,0.03962461520344253
002770.SZ,20200821,1.9,1.97,1.89,1.94,1.89,0.05,2.6455,302505.51,58668.154,1.8940000000000001,1.903,1.889,-0.05014654739460367,-0.08855343880114265,0.03840689140653898
002770.SZ,20200824,1.93,1.94,1.9,1.92,1.94,-0.02,-1.0309,225014.34,43216.59,1.8940000000000001,1.903,1.889,-0.04460185813640005,-0.07976312266819413,0.03516126453179408
002770.SZ,20200825,1.92,1.93,1.87,1.89,1.92,-0.03,-1.5625,266010.9,50381.615999999995,1.8940000000000001,1.903,1.889,-0.042142607485256,-0.0722390196316065,0.030096412146350504
002770.SZ,20200826,1.87,1.89,1.8,1.83,1.89,-0.06,-3.1746,230675.88,42581.731,1.8940000000000001,1.903,1.889,-0.04452191130575267,-0.06669559796643573,0.022173686660683062
002770.SZ,20200827,1.8,1.84,1.78,1.83,1.83,0.0,0.0,213477.62,38643.808,1.8920000000000001,1.921,1.889,-0.04587866602203072,-0.06253221157755473,0.016653545555524008
002770.SZ,20200828,1.82,1.92,1.81,1.92,1.83,0.09,4.918,493441.57,93439.94900000001,1.8920000000000001,1.921,1.889,-0.03923932950604314,-0.05787363516325241,0.01863430565720927
002770.SZ,20200831,1.91,1.93,1.87,1.89,1.92,-0.03,-1.5625,313876.58,59403.585,1.8920000000000001,1.921,1.889,-0.03598356067435993,-0.053495620265473914,0.017512059591113988
002770.SZ,20200901,1.89,1.94,1.87,1.92,1.89,0.03,1.5873,248889.83,47451.359000000004,1.8920000000000001,1.921,1.889,-0.03062951317746454,-0.04892239884787204,0.018292885670407502
002770.SZ,20200902,1.91,1.93,1.89,1.9,1.92,-0.02,-1.0417,179896.7,34257.844,1.8920000000000001,1.921,1.889,-0.02768113393428484,-0.0446741458651546,0.01699301193086976
002770.SZ,20200903,1.9,1.96,1.89,1.93,1.9,0.03,1.5789,303988.92,58387.792,1.95,1.921,1.889,-0.022662533285818798,-0.04027182334928744,0.01760929006346864
