trade_date,score,Read_count
20200220,0.324840323,781564988816607664869105610087366716899256488766776307077525951454716531621512493797610534486461548420459513587541492741490477441476413459430471409471461455446427445555684658394372465442394394483372537512565501100867763070775259514547165316215124937976105344864615484204595135875414927414904774414764134594304714094714614554464274455556846583943724654423943944833725375125655016011759810629
20200221,0.303682354,1.1371E+223
20200222,0.393463899,1.72911E+18
20200224,0.340086889,699523536718111988710818578347279141103600629696509517500465493596907459884575394387435602388402433417400460386397396438699523536718111988710818578347279141103600629696509517500465493596907459884575394387435602388402433417400460386397396438439405408382397398396428454433527397506452456437424446517503450406
20200225,0.306535989,5.2642E+161
20200226,0.369278918,589590822158315261247123773872375281510577401038763943754514518691691537548561635515791886473483597559690640636675473482553482461440559514433450414408440423589590822158315261247123773872375281510577401038763943754514518691691537548561635515791886473483597559690640636675473482553482461440559514433450414408440423405527491355380430481447426425383345334299417399341353400630468
20200227,0.315234515,8.2419E+251
20200228,0.355578316,1.0481E+126
20200229,0.436270561,87010361287
20200301,0.478123297,7.72733E+35
20200302,0.247804089,4.46458E+96
20200303,0.369423606,9.0764E+107
20200304,0.362445369,5.9753E+200
20200305,0.295361324,151869628026257262251751560593775721336610097317286396211575115655665511454964985496406416295396001087648601484556552460501490741492460426476450482546457706474440534466522517420558428554441641516435438459489448413627579477421485429458414396417445471410595396356526557388545449455407375346334366380464407604387548532379548487
20200306,0.304236094,10031059901903100495512621001208011091106170010941267759128273171671973960170680271875960769170057571763948610031059901903100495512621001208011091106170010941267759128273171671973960170680271875960769170057571763947348610125115284765494665871517570518779465471471507536388682493401390388398617402401528428373359363438501762661511497582496601
20200307,0.459187879,1.74011E+61
20200308,0.319964527,1.05511E+67
20200309,0.327347536,1.2108E+187
20200310,0.265019762,5.155E+96
20200311,0.244482459,6.5813E+220
20200312,0.300635295,7.2981E+165
20200313,0.339066152,8.8479E+244
20200314,0.289288111,1.05399E+52
20200315,0.361337125,8.08584E+40
20200316,0.243597457,534546675702105983610306769635825536745421226625549562569454490482499675663596578386382378409448742385356402339650341362336478699534546675702105983610306769635825536745421226625549562569454490482499675663596578386382378409448742385356402339650341362336478699334395379396480
20200317,0.396630918,3.9436E+137
20200318,0.263965442,79457564972751951377972612688767747396156706276296016365964584697595295115345606485044454764344154085425646224145193724167945756497275195137797261268876774739615670627629601636596458469759529511534560648504445476434415408542564622414519372416368453414506550399563623383361386351415398395395330321397355318463
20200319,0.248724168,6.2166E+173
20200320,0.245366638,6.0355E+153
20200321,0.253922628,6.58537E+23
20200322,0.375459552,7.574E+12
20200323,0.249234744,2.62254E+80
20200324,0.36137429,2.593E+182
20200325,0.380137124,709509507390403451467387368413424464378455330334283279293255257257300282244322273482230251275279269214305251263249331254246263256325198222273226709509507390403451467387368413424464378455330334283279293255257257300282244322273482230251275279269214305251263249331254246263256325198222273367226229222234228317251304507
20200326,0.338520649,2.9635E+146
20200327,0.180720013,7.0849E+147
20200330,0.320466756,4.47417E+11
20200331,0.27862278,4.3529E+143
20200401,0.354738843,3.163E+197
20200402,0.256389493,4.4952E+149
20200403,0.225017841,4.9243E+113
20200404,0.67080891,2.21448E+12
20200405,0.5469,471
20200407,0.403617257,2.15318E+62
20200408,0.315048912,3.365E+95
20200409,0.366845829,5.6335E+98
20200410,0.377346054,5.4649E+147
20200411,0.421434547,4.79103E+13
20200412,0.93671488,4.8148E+11
20200413,0.448369402,4.3627E+182
20200414,0.281125736,3.313E+122
20200415,0.322811153,2.3929E+140
20200416,0.302725717,1.86373E+11
20200417,0.335396228,5.0043E+160
20200418,0.204896479,5.10454E+24
20200419,0.102099838,3.48491E+20
20200420,0.314713686,2.8225E+143
20200421,0.34462018,4.5537E+221
20200422,0.353455289,314271360325369330246232323422456414246521433633675370314271360325369330246232323422456414246521433633675370372384380239327255540742377363289285255292533231261277236306295304212204208203210295244194270260216213278305201249242212175208219185279257224242219185279257224242
20200423,0.370130877,364336598558315369489309259283315314242330209437202230265234259246305272239284308257366221261245202221233148316234228232272208380268268233326219277685343275312437220211246305272239284308257366221261245202221233148316234228232272208380268268233326219277685343275312437220211
20200424,0.37090171,4.5733E+231
20200427,0.150388655,4.2129E+247
20200428,0.247456309,34029234538726227025249035932348451227925529750934565726023483826084052203482912093002742192252242092112532332101702442092392132222132582222642183324752442892342572432282422532212142292312442452482302952552975093456572602348382608405220348291209300274219225224209211253233210170244209239213222213258222264218332475244289234257243228242253221214229231244245248230264230218295342322539362487416386304330305
20200429,0.299450247,3.7945E+101
20200430,0.321723338,1350703580635662504105571846044145947842355037542210592902744032749612813453112502333242802282262532002481952673702592293032162842532882544112656772793377132442592802032611900105571846044145947842355037542210592902744032749612813453112502333242802282262532002481952673702592293032162842532882544112656772793377132442592802032611900
20200501,0.3806,483
20200502,0.358610791,5.57502E+14
20200503,0.28686997,702761565
20200504,0.270519418,1.34735E+30
20200505,0.181098729,3.41452E+22
20200506,0.302367217,8.3523E+149
20200507,0.446585802,2.54238E+32
20200508,0.336550622,4.6158E+235
20200509,0.60784461,5.50109E+31
20200510,0.135553723,4.37696E+59
20200511,0.321028921,5.3451E+199
20200512,0.377651589,3.4564E+153
20200513,0.408716402,4.1238E+219
20200514,0.395639155,2.4722E+221
20200515,0.359111385,361587383316342309348332982291294367466241479211397207426229298238220226289351266233222215231364222262254577203237393214250223213210250223232291240250238245264213201199241305302285310242209229214251241241220219225234224373232228254188271292471319353333495203308377338
20200516,0.325590526,5.61405E+79
20200517,0.265364992,2.26577E+91
20200518,0.297284631,434335486356376252350334562294304306332274256224270299243242227240234255395199189384218392200320236201394241205330588344746181169212217299302198261209209212200231319319228254475230254237245223267220225240254315436336349793269425209209212200231319319228254475230254237245223267220225240254315436336349793269425
20200519,0.541405664,1.9919E+144
20200520,0.342903146,2.4128E+192
20200521,0.409642724,397209175359434279314285526232565212255509252482195202231502197199196184213284292196279200187410253229224273204280200251564208169199214280226205180257202196194187186195185177209191179216178179178175177186205377202223212191216252211221794175194194224166241200226273225195273186221248290711527
20200522,0.411621311,7462231263235557522386381417230367559268351312262215324282226205188330191175183182170294177255184199187152185141172171227377192217234181196193198224209236216370190333297261245255262220214218202235222206244236217230184213310198226206253324340308339182170294177255184199187152185141172171227377192217234181196193198224209236216370190333297261245255262220214218202235222206244236217230184213310198226206253324340308339188320239204
20200523,0.216606335,3.28593E+45
20200524,0.51357431,8.34268E+32
20200525,0.267723525,4.3727E+176
20200526,0.274555243,4.3222E+239
20200527,0.441364361,4.1238E+180
20200528,0.305936583,1.5515E+197
20200529,0.38827608,1530714352474308588796310812319572500360310232331307215240224177195193180386180171215167182296171373287193408491243534278186166181193251247218287321234201174233201947201351296209312169177371175196209182201215297165176202214183216163214232184230236211221256177190193157204303198211238230205217209183206219234200191222206164263
20200530,0.429566611,3.8349E+57
20200531,0.280375291,4.44496E+41
20200601,0.359182263,42618121138053724945136810093013592833262702561232573384323412148188262433713496506270343239341307168351182295187268171234177160168170177170183195171159244178189213379195202163224176173209303177186603324219378198505925831921031121317318817318616317326623016220418320122318319217817619519025616821218418218024320320217620323021219017424120429422922132518119718922120518419637820614268295872122121513256544296237
20200602,0.356352516,338342236199387466292314317855233263206329506461336271315312513231217251223210195141132307199211226242185803346178418547448243424183262200186187233191241401218176206210320644228214211199215208191360207335177212226363241198169871152213313270273347169191137167209209229192201310170248226241507590311804289237231
20200603,0.342409284,173182499511251525238227302260366297228182361532272177183396201754183180177171183488316227211544195320169194198730233269241358223182191207176175291351428174174230194200212711190369211201216196212525260366297228182361532272177183396201754183180177171183488316227211544195320169194198730233269241358223182191207176175291351428174174230194200212252711190369211201216196212222244227203478199421232379285242214257194201292237239740449205191145
20200604,0.386647072,3532381120201768466213428303313404478156815312295364062443331661962641501551751571981621421297531411511321561513192512081373222461331671531811641422332961595011441953492522051896682241641591561861782281862381762802372372491562992211681571781671683361115236173189329179195192183258349255205177194170203210583174188398227323239194302204156
20200605,0.324768136,231263268181192193432177283523253329415217229299444198228205338214259239388267378274205189240335193247204366299189215180193207223316161131211211206199381209207205201248202206292212271211182203235613205220265308386461338214259239388267378274205189240335193247204366299189215180193207223316161131211211206199381209207205201248202206292212271211182203235613205220265308386461211
20200606,0.380893887,3.17328E+46
20200607,0.28829808,3.90377E+59
20200608,0.363877652,184255174144316250196314227159143166150173262118176163188122135172467221167130182193148183196176126479212192308195236194173220213288225231291238223238227205290671194205205265219255465221290265743397146916356189001049237211167130182193148183196176126479161212192308195236194173220213288225231291238223238227205290671194205205265219255465221290265743397146916356189001049237211
20200609,0.362781622,2673702414583755892322443024487672302773535523241077276372330283126519924743434919130717817215431717220618616513615964721523833018820016523142050844377525315716216718015616616214029919116518916314740827818418029325924513939130122921518620832728428623828424515414515717823618951971911451702152383301882001652314205084437752531571621671801561661621402991911651891631474082781841802932592451393913012292151862083272842862382842451541451571782361895197191145170234146196145147152182185170165171201144136126247292191165156174206218376
20200610,0.39746296,2.7117E+167
20200611,0.309770724,2251761962333067123201973082152005252562386827546734913034572163632302302063761962131951551852323201722363232851821661581901641481701951871551782021801691882001471621451611681581672071661621561671341612617546734913034572163632302302063761962131951551852323201722363232851821661581901641481701951871551782021801691882001471621451611681581672071661621561671341612614151501861391551141672401562033172551601833761741951612231341701921781491491301563401581631521641811705321801551321591611702631654401711781632398591741752022111561782321692552021881832172301762502051712631801612501761682082802371972112162191592471911971961813212092011942061881961825295643561122313348569
20200612,0.289168386,33222135238223853330637196644442893494422875894062532974763285102452402073253525832191802003262592693614183153393333703876821711981632192022231632001601671812271991872171681671961841933291631781714001561591611631691662622382621551672082601621891821621781511562841911831831821871801581005460173166180167
20200613,0.399971174,5.4941E+104
20200614,0.354505344,7.7666E+123
20200615,0.298212736,2.633E+233
20200616,0.452145523,241195220196176171171175152228173177199171181193160185176150280163196583195392178360605146196186152170390181450168172167820918916615519414826916212614220014219358950721814017217218631715214224918317120277020420117527418423336119818618616951954519260621618546716523949518518933917766718917120419622029718917819727320316537524417417338428718018018529221217644820724019517858525422317620117721219519034717520318916315918714212615430414817517818317116818130219529817715614916919727320316537524417417338428717518018018529221217644820724019517858525422317620117721219519034717520318916315918714212615430414817517818317116818130219529817715614916915614418516617415917534127716615917214814014019715616315613413914610914815628512614523014215714570019213912914020815113116813612614432112713814322017418120217225918215316615120016918916616117518226719520616919918356820018921633020820923620638260553372212815282735543005812372793611381432201741812021722591821531661512001691891661611751822671952061691991835682001892163302082092362063826055337221281528273554300581237279361
20200617,0.347077849,18326176142549744477725552835932018419072227124125945227527125122820433143945357534947322518329254124323933424362418521115919336217916320217716116321735076142549744477725552835932018419072227124125945227527125122820433143945357534947322518329248054124323933424362418521115919336217916320217716116321735015418018384565915815827419042017817614631317518628920037819919731825133829953530623822023318623222338719225327322119419521723231018219718418318223230718948918515429519526717418518135418615916118234319417518719318745817222223527818722722925419319718417529120018728710672302011017367241192
20200618,0.292135912,235332700414391160555921273849449624624418537027933019327846325419222117433416113140013140015072426314912312613816018512723201311651603171671392021421321674845351721571281511371521637192425101671691493251611161801451551312141502261693192313211723584022181771791402724891831721892181961761455861954206209179214169468202392201200209186178234206224338377602258526228362351228
20200619,0.303187159,16721021561939766224520046529222925322827839628230822937936525771721716917715897915115114821127419315012119520118213054613126633519713627113617516926068813815014713714929016419120717823818217218320119021036019215718769157417820215938620038831517233985036525741215562143712014492962184239
20200620,0.374733027,3.38142E+96
20200621,0.343466138,6.33616E+78
20200622,0.299734764,192217178150194173187269217297194189173202390191348199436165193179307242178191181190564418199308205537352229403264619279573253483200435195166645238259181221228192185194322220163178176321270188190200198242208260506716181190564418199308205537352229403264619279573253483200435195166645238259181221228192185194322220163178176321270188190200198242208260506716
20200623,0.415447618,573185323571269229371280242205170843209199167115515353329431752124422820119618322137335141530915115717513316313415015014513712712057318532357126922937128024220517084320919916711551535332943175212442282011961832213733514153091511571751331631341501501451371271201451543181321631411271362221231301341041221351071141161111071241741101389913416114213814214233413011925313613912214813013014415012212312512211012711812812914611715115511742712738547213646730864215928215115514424316712612814736878416062975014732613014814813130017019013913213910201652882073351371571471451591832422061614991382702162742011881762711801512902261762483232002261441621731551351401981501661725431681831731661671511671522651841361571801676291612586321921391886401501033184349163171241146168159160228153155268170150147154156260183188206184
20200624,0.496988991,44132228827926031643728976487912264714666924673963874432913414184323792563921811604211652394051812732781912791612282351812093112061641952741401601903602061531482381572241621671781481992492231851611481442851401432831581771411421951621391300161251156163191139153169168161150236260216292250429141436285329460606801502277146801502277146
20200625,0.16146397,3.6864E+44
20200626,0.250769809,5.75923E+95
20200627,0.511952651,6.6545E+125
20200628,0.553242601,3.43438E+85
20200629,0.503581204,3382121946804503212982857742310279136321145724024628937539250899050973928517521680540020451651635732229832451839331437138822220323918437819918820328223029850215318018019118117316215940921016234240815714316416430131822820414814916815120751716615518726721521743283141671591404161701944331551791661333051796341691945921671733881571841651641480330160257129022417218217021519219127419830736626421927016829219619524320719515118217919318616218018617822026031518526631971973032712582781532991559347244618334
