ts_code,trade_date,open,high,low,close,change,pct_chg,vol,amount,5MA,MACD,slowj,score,n_vol,n_amount
600559.SH,20131209,24.32,26.16,24.32,25.77,1.26,5.14,73308.76,186385.716,24.21,0.190316113,101.4525816,0.668967707,0.112279909,0.192095969
600559.SH,20131210,25.74,25.96,25.49,25.74,-0.03,-0.12,24695.78,63512.608,26.102,0.293993677,114.2997071,0.500459002,-0.115806256,-0.140690673
600559.SH,20131211,25.72,26.96,25.1,26.2,0.46,1.79,44430.76,116807.318,26.102,0.408567338,100.1053767,0.528106259,-0.02321214,0.003651469
600559.SH,20131212,26.03,26.98,25.81,26.85,0.65,2.48,37525.62,99666.7,26.102,0.545528841,94.86594874,0.633968899,-0.055610213,-0.042771779
600559.SH,20131213,26.85,27.39,26.21,26.36,-0.49,-1.83,28555.79,76378.69,26.102,0.60752969,83.7932608,0.622067983,-0.09769556,-0.105844479
600559.SH,20131216,26.3,26.36,25.28,25.36,-1,-3.79,25036.88,64252.703,26.102,0.569410359,61.40674448,0.563944089,-0.114205856,-0.138686217
600559.SH,20131217,25.4,25.92,24.9,25.41,0.05,0.2,20628.86,52587.412,25.232,0.537044383,37.14712892,0.697537455,-0.134887748,-0.170280218
600559.SH,20131218,25.32,25.45,25,25.3,-0.11,-0.43,8964.16,22600.025,25.232,0.496791332,27.22096189,0.700064588,-0.189617095,-0.251497353
600559.SH,20131219,25.33,25.74,24.89,25.58,0.28,1.11,15178.68,38456.475,25.232,0.481928784,34.19625826,0.495885437,-0.160459327,-0.208552116
600559.SH,20131220,25.15,25.69,24.7,25.04,-0.54,-2.11,17687.77,44287.128,25.232,0.421715348,11.59404463,0.707812117,-0.148686983,-0.192760512
600559.SH,20131223,24.94,25.16,24.1,24.83,-0.21,-0.84,11883,29415.41,25.232,0.35298157,5.466336315,0.47912692,-0.175922255,-0.233038724
600559.SH,20131224,24.78,25.55,24.57,25.52,0.69,2.78,16670.27,42015.718,25.042,0.350150472,21.7100191,0.527646066,-0.153460968,-0.198912345
600559.SH,20131225,25.41,26.29,25.33,25.84,0.32,1.25,18437.82,47743.727,25.042,0.369469123,57.77125281,0.552753451,-0.14516784,-0.18339874
600559.SH,20131226,25.84,25.97,24.3,24.6,-1.24,-4.8,18930.11,47243.847,25.042,0.281476964,48.30617994,0.546527348,-0.142858075,-0.184752604
600559.SH,20131227,24.51,24.95,24.32,24.7,0.1,0.41,17626.79,43321.607,25.042,0.217306732,27.11573648,0.683438335,-0.148973093,-0.195375506
600559.SH,20140108,25.06,25.95,24.83,24.9,-0.38,-1.5,15783.62,39815.694,24.874,0.099546608,20.98302017,0.704591408,-0.157621022,-0.204870839
600559.SH,20140109,24.78,25.7,24.6,25.05,0.15,0.6,18077.71,45629.223,24.874,0.086633169,61.57580957,0.486689509,-0.146857432,-0.189125613
600559.SH,20140110,25,25.25,24.31,24.44,-0.61,-2.44,9621.05,23747.977,24.874,0.026867561,30.24668895,0.467888055,-0.186535048,-0.248388266
600559.SH,20140113,24.48,24.95,24.06,24.61,0.17,0.7,10913.22,26642.712,24.874,-0.006702274,18.54592341,0.450486576,-0.180472344,-0.240548234
600559.SH,20140114,24.5,25.4,24.1,25.37,0.76,3.09,16599.68,41438.416,24.874,0.027699732,45.70434083,0.72417057,-0.153792168,-0.200475897
600559.SH,20140115,25.36,25.37,24.71,25.07,-0.3,-1.18,12371.28,30941.087,25.146,0.030405581,70.87075763,0.622703848,-0.173631304,-0.228906616
600559.SH,20140116,25.07,25.88,24.92,25.4,0.33,1.32,16895.13,43149.515,25.146,0.058503831,92.42764609,0.448597182,-0.152405953,-0.195841596
600559.SH,20140117,25.38,25.38,24.55,24.66,-0.74,-2.91,14228.41,35239.329,25.146,0.020820081,47.05241731,0.500290074,-0.164917877,-0.217265358
600559.SH,20140120,24.55,25.48,24.55,25.43,0.77,3.12,28540.76,71444.973,25.146,0.052483011,59.08270245,0.565454772,-0.097766079,-0.119206842
600559.SH,20140121,25.4,25.4,25.01,25.17,-0.26,-1.02,13986.73,35198.282,25.146,0.055951312,54.77214737,0.40339926,-0.16605181,-0.217376529
600559.SH,20140122,25.07,26.08,25,25.74,0.57,2.26,25879.9,66509.614,25.204,0.103501105,91.88591423,0.531134619,-0.110250509,-0.132573652
600559.SH,20140123,25.61,25.83,25.31,25.61,-0.13,-0.51,19057.66,48770.847,25.204,0.129205347,86.55332564,0.621179647,-0.142259626,-0.180616913
600559.SH,20140124,25.36,26,25.36,25.62,0.01,0.04,22939.68,58949.481,25.204,0.148669293,86.84582948,0.474365751,-0.124045662,-0.153049339
600559.SH,20140127,25.3,25.5,24.77,24.82,-0.8,-3.12,28399.03,71032.684,25.204,0.098406922,31.43494734,0.470783535,-0.098431059,-0.120323476
600559.SH,20140128,24.82,24.97,23.97,24.23,-0.59,-2.38,27063.27,65597.73,25.204,0.010840599,-7.608119793,0.580453199,-0.104698282,-0.135043378
600559.SH,20140129,24.01,24.36,22.53,22.7,-1.53,-6.31,35374.33,81324.325,22.386,-0.179940317,-34.71804177,0.453951204,-0.065703803,-0.092449837
600559.SH,20140130,22.62,22.62,21.49,22.19,-0.51,-2.25,30087.66,65900.69,22.386,-0.368045703,-6.273254397,0.606638535,-0.090508213,-0.134222848
