ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,10MA,30MA,MACD,MACDsignal,MACDhist,slowk,slowd,slowj,score
600196.SH,20200609,30.98,31.47,30.78,31.26,30.94,0.32,1.0343,224843.04,702677.022,31.152000000000005,31.995,32.25366666666667,,,,62.387992831541254,58.67074159412874,69.82249530636626,0.457997072
600196.SH,20200610,31.34,32.34,31.05,32.34,31.26,1.08,3.4549,458276.97,1460392.5369999998,32.838,31.995,32.25366666666667,,,,74.19354838709681,64.63373655913982,93.31317204301077,0.49411014200000003
600196.SH,20200611,32.08,32.6,31.66,32.1,32.34,-0.24,-0.7421,379349.65,1221712.239,32.838,31.995,32.25366666666667,,,,81.8340764052802,72.80520587463944,99.89181746656172,0.502474006
600196.SH,20200612,31.6,33.5,31.59,33.0,32.1,0.9,2.8037,513968.23,1685758.9780000001,32.838,31.995,32.25366666666667,,,,86.22020118506269,80.74927532581326,97.16205290356159,0.46124936
600196.SH,20200615,33.54,33.99,32.81,33.35,33.0,0.35,1.0606,475904.19,1591089.821,32.838,31.995,32.25366666666667,-0.4430171796579501,-0.97397327195839,0.5309560923004398,80.0186507974658,82.69097612926959,74.6740001338582,0.409283329
600196.SH,20200616,33.35,33.57,32.84,33.4,33.35,0.05,0.1499,319446.98,1061776.2140000002,32.838,31.995,32.25366666666667,-0.3005658395793702,-0.8392917854825859,0.5387259459032158,82.43167783471289,82.89017660574716,81.51468029264433,0.5167171970000001
600196.SH,20200617,33.86,35.0,33.85,34.84,33.4,1.44,4.3114,607247.04,2096281.6469999999,33.654,33.63100000000001,39.661,-0.07066161769923696,-0.6855657519259162,0.6149041342266792,86.88289347617804,83.11107403611892,94.42653235629624,0.563839299
600196.SH,20200618,34.75,34.75,33.61,33.67,34.84,-1.17,-3.3582,470724.97,1598634.2880000004,33.654,33.63100000000001,39.661,0.01693469992992647,-0.5450656615547477,0.5620003614846741,82.57891463786656,83.96449531625252,79.80775328109469,0.379244478
600196.SH,20200619,33.25,33.97,33.25,33.64,33.67,-0.03,-0.0891,323797.22,1088528.1509999998,33.654,33.63100000000001,39.661,0.0829781430874732,-0.4194569006263035,0.5024350437137767,77.55347285087959,82.3384269883081,67.9835645760226,0.299964571
600196.SH,20200622,33.5,33.58,32.51,33.0,33.64,-0.64,-1.9025,416384.62,1372499.955,33.654,33.63100000000001,39.661,0.08272183054040028,-0.31902115439296275,0.40174298493336297,61.874337592737035,74.00224169382776,37.61852939055558,0.33068500300000003
600196.SH,20200623,32.93,33.2,32.67,33.12,33.0,0.12,0.3636,263415.21,867876.2629999998,33.654,33.63100000000001,39.661,0.09115096651586896,-0.2369867302111964,0.3281376967270654,54.00254521551732,64.47678521971135,33.05406520712927,0.39634547200000003
600196.SH,20200624,33.11,33.25,32.58,32.66,33.12,-0.46,-1.3889,268248.79,879611.7309999998,33.608000000000004,33.63100000000001,39.661,0.06002107627995201,-0.17758516891296672,0.2376062451929188,41.87114097281508,52.58267459368985,20.44807373106552,0.324950627
600196.SH,20200629,32.73,33.9,32.72,33.88,32.66,1.22,3.7355,412098.15,1377705.114,33.608000000000004,33.63100000000001,39.661,0.13226949759049944,-0.11561423561227348,0.2478837332027729,43.7554715440452,46.54305257745924,38.180309477217115,0.325949397
600196.SH,20200630,33.93,33.97,33.47,33.85,33.88,-0.03,-0.0885,340713.83,1148863.358,33.608000000000004,33.63100000000001,39.661,0.184973878986618,-0.0554966126924952,0.2404704916791132,46.73788016189888,44.12149755958642,51.97064536652378,0.367748111
600196.SH,20200701,33.83,33.83,32.8,33.18,33.85,-0.67,-1.9793,408415.94,1354028.2119999998,33.608000000000004,33.63100000000001,39.661,0.17071122761336,-0.010255044631324158,0.18096627224468406,45.247657295850175,45.247003000598106,45.24896588635429,0.249229969
600196.SH,20200702,33.88,35.88,33.87,34.47,33.18,1.29,3.8879,796728.93,2782488.923,33.608000000000004,33.63100000000001,39.661,0.2604973414649265,0.043895432587925984,0.21660190887700054,46.294376318329746,46.09330459202629,46.69651977093663,0.43936893299999996
