ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,10MA,30MA,MACD,MACDsignal,MACDhist,slowk,slowd,slowj
002594.SZ,20151013,58.99,60.5,58.16,60.46,59.46,1,1.68,199954.56,1191402.037,59.904,61.628,66.08466667,1.977785243,1.416128306,0.561656937,54.08952668,58.97722335,44.31413334
002594.SZ,20151014,60.45,60.46,58.35,58.65,60.46,-1.81,-2.99,170178.91,1006418.482,59.904,61.628,66.08466667,1.820710139,1.497044672,0.323665467,42.16685859,51.8185965,22.86338278
002594.SZ,20151015,58.3,60.64,58.2,60.35,58.65,1.7,2.9,170151.65,1019440.393,59.904,61.628,66.08466667,1.812509301,1.560137598,0.252371703,36.61995399,44.29211309,21.27563581
002594.SZ,20151016,60.9,62.51,59.81,60.6,60.35,0.25,0.41,200108.47,1219171.036,59.904,61.628,66.08466667,1.805371786,1.609184436,0.196187351,32.51527236,37.10069498,23.34442711
002594.SZ,20151019,61.5,66.66,61.37,66.66,60.6,6.06,10,323398.46,2074792.553,63.352,61.628,66.08466667,2.262624482,1.739872445,0.522752037,56.57630522,41.90384386,85.92122795
002594.SZ,20151020,68.88,68.97,64.51,66.22,66.66,-0.44,-0.66,327913.04,2168912.504,63.352,61.628,66.08466667,2.559986287,1.903895213,0.656091074,70.43586,53.17581253,104.9559549
002594.SZ,20151021,65.51,65.95,59.6,59.75,66.22,-6.47,-9.77,338379.39,2113130.267,63.352,61.628,66.08466667,2.247663071,1.972648785,0.275014286,63.08973173,63.36729898,62.53459722
002594.SZ,20151022,59.79,62.31,57.69,61.44,59.75,1.69,2.83,306107.23,1846113.332,63.352,61.628,66.08466667,2.112165815,2.000552191,0.111613624,40.83795868,58.12118347,6.271509101
002594.SZ,20151023,63.01,64.66,61.7,62.69,61.44,1.25,2.03,301703.12,1898851.298,63.352,61.628,66.08466667,2.081651831,2.016772119,0.064879712,30.75984171,44.89584404,2.487837051
002594.SZ,20151026,64,68.96,62.75,68.96,62.69,6.27,10,633458.53,4287444.586,68.422,67.621,66.08466667,2.534193275,2.12025635,0.413936925,59.1607565,43.58618563,90.30989824
002594.SZ,20151027,68.2,69.19,65,68.35,68.96,-0.61,-0.88,295275.22,2002712.725,68.422,67.621,66.08466667,2.811207874,2.258446655,0.552761219,78.97774694,56.29944838,124.3343441
002594.SZ,20151028,68.27,71.7,67.33,68.81,68.35,0.46,0.67,309746.25,2164859.136,68.422,67.621,66.08466667,3.032900703,2.413337465,0.619563239,90.65962564,76.26604303,119.4467909
002594.SZ,20151029,69.5,69.85,66.38,68.89,68.81,0.08,0.12,188263.72,1274021.735,68.422,67.621,66.08466667,3.178410462,2.566352064,0.612058398,84.00347578,84.54694945,82.91652843
002594.SZ,20151030,68.15,69.76,65.8,67.1,68.89,-1.79,-2.6,183150.35,1243187.512,68.422,67.621,66.08466667,3.113400609,2.675761773,0.437638836,75.49369498,83.3855988,59.70988734
002594.SZ,20151102,66,66.88,63,63.66,67.1,-3.44,-5.13,217540.84,1417507.392,66.82,67.621,66.08466667,2.752570661,2.691123551,0.06144711,63.24054247,74.24590441,41.22981859
002594.SZ,20151103,63.81,66.18,62.4,65.49,63.66,1.83,2.87,200332.47,1291132.748,66.82,67.621,66.08466667,2.584483714,2.669795583,-0.08531187,55.15108256,64.62844,36.19636767
002594.SZ,20151104,65.4,70.23,65.02,69.9,65.49,4.41,6.73,308797.34,2079295.12,66.82,67.621,66.08466667,2.775133727,2.690863212,0.084270515,60.09564597,59.495757,61.2954239
002594.SZ,20151105,69,69.5,67.2,67.3,69.9,-2.6,-3.72,267191.8,1820855.79,66.82,67.621,66.08466667,2.685470533,2.689784676,-0.004314144,63.45423008,59.5669862,71.22871784
002594.SZ,20151106,66.8,68.8,66.6,67.75,67.3,0.45,0.67,251361.58,1695306.537,66.82,67.621,66.08466667,2.620515374,2.675930816,-0.055415442,64.07168459,62.54052021,67.13401334
002594.SZ,20151109,67.15,73.05,66.7,71.6,67.75,3.85,5.68,352803.68,2465833.654,70.3,69.005,66.08466667,2.846883665,2.710121386,0.136762279,65.53334343,64.35308603,67.89385822
002594.SZ,20151110,71,71.25,68.88,69.8,71.6,-1.8,-2.51,260700.73,1823695.107,70.3,69.005,66.08466667,2.848204876,2.737738084,0.110466792,71.13180877,66.91227893,79.57086846
002594.SZ,20151111,70,71.02,67.4,68.8,69.8,-1,-1.43,265269.81,1825453.992,70.3,69.005,66.08466667,2.737009758,2.737592419,-0.00058266,71.98748044,69.55087755,76.86068622
002594.SZ,20151112,68.95,71.28,68,70.6,68.8,1.8,2.62,322355.57,2256188.88,70.3,69.005,66.08466667,2.762289825,2.7425319,0.019757925,68.85758998,70.65895973,65.25485049
002594.SZ,20151113,70,74.83,68.18,70.7,70.6,0.1,0.14,402411.95,2876014.432,70.3,69.005,66.08466667,2.758594267,2.745744373,0.012849894,67.95437864,69.59981635,64.6635032
002594.SZ,20151116,68.5,69.8,68.19,69.49,70.7,-1.21,-1.71,195330.44,1348563.863,67.71,69.005,66.08466667,2.627737699,2.722143039,-0.09440534,63.11166281,66.64121048,56.05256748
002594.SZ,20151117,70.3,70.6,66.7,67.88,69.49,-1.61,-2.32,302548.36,2077666.437,67.71,69.005,66.08466667,2.366835969,2.651081625,-0.284245655,42.63084622,57.89896256,12.09461356
002594.SZ,20151118,67.95,68.8,65.67,66.18,67.88,-1.7,-2.5,187859.14,1258937.869,67.71,69.005,66.08466667,1.999840757,2.520833451,-0.520992694,22.22876341,42.65709082,-18.6278914
002594.SZ,20151119,66.5,68.67,65.5,68.4,66.18,2.22,3.35,175349.25,1170532.654,67.71,69.005,66.08466667,1.866612705,2.389989302,-0.523376597,17.40102349,27.42021104,-2.637351612
002594.SZ,20151120,68.12,68.2,66.27,66.6,68.4,-1.8,-2.63,169425.48,1133723.902,67.71,69.005,66.08466667,1.597370069,2.231465455,-0.634095387,16.14671335,18.59216675,11.25580654
002594.SZ,20151123,66,66.99,64.7,64.9,66.6,-1.7,-2.55,171631.87,1126657.691,63.712,63.142,62.87866667,1.2326088,2.031694124,-0.799085324,14.94892937,16.1655554,12.51567731
002594.SZ,20151124,64.99,64.99,62.86,64.51,64.9,-0.39,-0.6,187262.28,1194439.524,63.712,63.142,62.87866667,0.901669245,1.805689148,-0.904019904,9.182906596,13.4261831,0.69635358
