ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,MACD,slowj,score,Read_count
002594.SZ,20151022,59.79,62.31,57.69,61.44,59.75,1.69,2.83,306107.23,1846113.332,63.352,2.112165815,6.271509101,0.467878252,343772
002594.SZ,20151023,63.01,64.66,61.7,62.69,61.44,1.25,2.03,301703.12,1898851.298,63.352,2.081651831,2.487837051,0.24878643,213856
002594.SZ,20151026,64,68.96,62.75,68.96,62.69,6.27,10,633458.53,4287444.586,68.422,2.534193275,90.30989824,0.546034644,602725
002594.SZ,20151027,68.2,69.19,65,68.35,68.96,-0.61,-0.88,295275.22,2002712.725,68.422,2.811207874,124.3343441,0.404074909,249875
002594.SZ,20151028,68.27,71.7,67.33,68.81,68.35,0.46,0.67,309746.25,2164859.136,68.422,3.032900703,119.4467909,0.455409421,207096
002594.SZ,20151029,69.5,69.85,66.38,68.89,68.81,0.08,0.12,188263.72,1274021.735,68.422,3.178410462,82.91652843,0.425800335,436951
002594.SZ,20151030,68.15,69.76,65.8,67.1,68.89,-1.79,-2.6,183150.35,1243187.512,68.422,3.113400609,59.70988734,0.340667231,182634
002594.SZ,20151102,66,66.88,63,63.66,67.1,-3.44,-5.13,217540.84,1417507.392,66.82,2.752570661,41.22981859,0.333670402,229711
002594.SZ,20151103,63.81,66.18,62.4,65.49,63.66,1.83,2.87,200332.47,1291132.748,66.82,2.584483714,36.19636767,0.272023336,62655
002594.SZ,20151104,65.4,70.23,65.02,69.9,65.49,4.41,6.73,308797.34,2079295.12,66.82,2.775133727,61.2954239,0.458495633,215960
002594.SZ,20151105,69,69.5,67.2,67.3,69.9,-2.6,-3.72,267191.8,1820855.79,66.82,2.685470533,71.22871784,0.333695731,276661
002594.SZ,20151106,66.8,68.8,66.6,67.75,67.3,0.45,0.67,251361.58,1695306.537,66.82,2.620515374,67.13401334,0.296707943,280627
002594.SZ,20151109,67.15,73.05,66.7,71.6,67.75,3.85,5.68,352803.68,2465833.654,70.3,2.846883665,67.89385822,0.226876176,379157
002594.SZ,20151110,71,71.25,68.88,69.8,71.6,-1.8,-2.51,260700.73,1823695.107,70.3,2.848204876,79.57086846,0.319482151,256534
002594.SZ,20151111,70,71.02,67.4,68.8,69.8,-1,-1.43,265269.81,1825453.992,70.3,2.737009758,76.86068622,0.400482473,298310
002594.SZ,20151112,68.95,71.28,68,70.6,68.8,1.8,2.62,322355.57,2256188.88,70.3,2.762289825,65.25485049,0.431743726,272162
002594.SZ,20151113,70,74.83,68.18,70.7,70.6,0.1,0.14,402411.95,2876014.432,70.3,2.758594267,64.6635032,0.40415852,307142
002594.SZ,20151116,68.5,69.8,68.19,69.49,70.7,-1.21,-1.71,195330.44,1348563.863,67.71,2.627737699,56.05256748,0.240752128,202340
002594.SZ,20151117,70.3,70.6,66.7,67.88,69.49,-1.61,-2.32,302548.36,2077666.437,67.71,2.366835969,12.09461356,0.433227879,304922
002594.SZ,20151118,67.95,68.8,65.67,66.18,67.88,-1.7,-2.5,187859.14,1258937.869,67.71,1.999840757,-18.6278914,0.415902993,278471
002594.SZ,20151119,66.5,68.67,65.5,68.4,66.18,2.22,3.35,175349.25,1170532.654,67.71,1.866612705,-2.637351612,0.3900005,372669
002594.SZ,20151120,68.12,68.2,66.27,66.6,68.4,-1.8,-2.63,169425.48,1133723.902,67.71,1.597370069,11.25580654,0.315154895,286994
002594.SZ,20151123,66,66.99,64.7,64.9,66.6,-1.7,-2.55,171631.87,1126657.691,63.712,1.2326088,12.51567731,0.354368489,275264
002594.SZ,20151124,64.99,64.99,62.86,64.51,64.9,-0.39,-0.6,187262.28,1194439.524,63.712,0.901669245,0.69635358,0.386317015,267671
002594.SZ,20151125,64.2,65.69,63.82,65.12,64.51,0.61,0.95,157092.62,1019115.47,63.712,0.680771653,10.85381007,0.440725769,395090
002594.SZ,20151126,65.5,65.7,63.68,63.73,65.12,-1.39,-2.13,156347.91,1009955.289,63.712,0.389062467,20.32900475,0.193084361,268221
002594.SZ,20151127,63.05,64.43,60,60.3,63.73,-3.43,-5.38,201411.8,1257538.797,63.712,-0.117536611,8.174218135,0.364482033,255345
002594.SZ,20151130,60.8,62.83,58.28,62.68,60.3,2.38,3.95,203184.11,1241626.365,62.572,-0.323247721,26.39516423,0.413220855,174901
002594.SZ,20151201,62.65,62.67,61.35,61.95,62.68,-0.73,-1.16,90904.49,562915.2533,62.572,-0.538967278,42.46118995,0.413526356,68435
002594.SZ,20151202,61.75,63.55,61.5,63.12,61.95,1.17,1.89,120695.69,756385.4651,62.572,-0.608502916,67.75758838,0.394950747,175151
002594.SZ,20151203,63.11,63.89,62.61,63.29,63.12,0.17,0.27,115975.73,732490.207,62.572,-0.642486645,64.39986383,0.33896691,221912
002594.SZ,20151204,63.15,63.15,61.51,61.82,63.29,-1.47,-2.32,109078.26,679399.3651,62.572,-0.779055246,60.33264438,0.441310831,201184
002594.SZ,20151207,61.84,63,61.2,62.06,61.82,0.24,0.39,95078.12,590640.1921,61.85,-0.858030016,55.76693138,0.367328407,226401
002594.SZ,20151208,61.8,61.93,60,60.3,62.06,-1.76,-2.84,104372.48,635856.9043,61.85,-1.050525577,28.97207677,0.342512521,249045
002594.SZ,20151209,59.87,63.49,59.58,62.88,60.3,2.58,4.28,210746.4,1313684.571,61.85,-0.983557419,56.29447329,0.507224805,118711
002594.SZ,20151210,63.5,63.98,62.21,62.42,62.88,-0.46,-0.73,130993.49,825302.1399,61.85,-0.956576015,73.87606409,0.432957783,345949
002594.SZ,20151211,62.15,62.45,60.62,61.59,62.42,-0.83,-1.33,99867.46,610441.9581,61.85,-0.990746413,77.39324386,0.266659478,354577
002594.SZ,20151214,60.8,62,60.51,62,61.59,0.41,0.67,81755.42,501215.13,63.01,-0.973520982,53.07437739,0.315462524,290693
002594.SZ,20151215,62.14,63.21,62.14,62.56,62,0.56,0.9,102443.72,643587.3969,63.01,-0.904258653,49.55739466,0.509130404,65705
002594.SZ,20151216,62.6,63,62.03,62.9,62.56,0.34,0.54,77039.28,482091.1614,63.01,-0.812565847,78.20308347,0.302423302,204834
002594.SZ,20151217,62.99,64.42,62.98,63.8,62.9,0.9,1.43,146785.76,936837.0823,63.01,-0.659671873,97.71349862,0.319364403,172696
002594.SZ,20151218,63.7,63.89,62.51,63.79,63.8,-0.01,-0.02,139513.04,882077.7951,63.01,-0.533163239,98.92102847,0.307413975,476857
002594.SZ,20151221,63.85,64.88,62.6,63.02,63.79,-0.77,-1.21,184738.4,1181361.868,62.958,-0.489395354,79.28383319,0.334018495,415975
002594.SZ,20151222,63.1,63.26,62.05,62.82,63.02,-0.2,-0.32,104192.64,651366.0661,62.958,-0.465481538,50.64801966,0.171748951,86205
002594.SZ,20151223,63,63.1,62,62.03,62.82,-0.79,-1.26,96203.18,600272.2824,62.958,-0.504460952,20.02036132,0.339040234,280451
002594.SZ,20151224,63,64.51,62.75,63.47,62.03,1.44,2.32,211588.07,1353368.387,62.958,-0.414379742,41.44961911,0.317092587,247837
002594.SZ,20151225,63.5,63.95,62.58,63.45,63.47,-0.02,-0.03,100884.58,638018.5736,62.958,-0.34067646,50.46646469,0.33354397,343989
002594.SZ,20151228,63.45,64.17,62.05,62.14,63.45,-1.31,-2.06,126179.17,797895.7182,63.17,-0.383550795,27.1240324,0.386891807,288406
002594.SZ,20151229,62.1,65.45,61.3,64.55,62.14,2.41,3.88,194985.23,1241166.288,63.17,-0.220520137,42.55961787,0.414641666,196296
002594.SZ,20151230,65,67,65,66,64.55,1.45,2.25,223650.46,1478921.073,63.17,0.025393001,71.83162049,0.3709467,140350
002594.SZ,20151231,66.01,66.95,64.01,64.4,66,-1.6,-2.42,143745.04,938969.6476,63.17,0.090135283,100.864814,0.372861698,155541
002594.SZ,20160104,64.4,64.4,58.4,58.76,64.4,-5.64,-8.76,114880.14,709177.5866,63.17,-0.310082419,25.06948188,0.434821086,130139
002594.SZ,20160105,55.8,60.61,55.8,59.35,58.76,0.59,1,166704.92,983037.0613,58.498,-0.573044068,-8.943104459,0.516655047,377292
002594.SZ,20160106,59.5,60.78,59.37,60.42,59.35,1.07,1.8,98824.86,594339.8698,58.498,-0.687181609,8.592682449,0.622747721,31948
002594.SZ,20160107,59,59.47,55,55.41,60.42,-5.01,-8.29,41293.1,236717.5525,58.498,-1.168432598,22.19331517,0.368302717,451902
002594.SZ,20160108,58,60.68,56.7,59.43,55.41,4.02,7.26,203567.18,1201830.685,58.498,-1.211481863,29.34357697,0.450298007,320096
002594.SZ,20160111,57.99,60.99,57.2,57.88,59.43,-1.55,-2.61,200493.5,1184370.789,58.498,-1.355050581,14.93783069,0.323261666,290986
002594.SZ,20160112,58.75,60.18,57.95,59.82,57.88,1.94,3.35,153174.36,909233.3424,58.562,-1.297333189,46.19444444,0.46304517,103041
002594.SZ,20160113,60.48,61.3,57.36,57.36,59.82,-2.46,-4.11,148988.71,881214.0375,58.562,-1.433567902,28.50844568,0.456655357,386222
002594.SZ,20160114,56.5,59.98,56.3,59.9,57.36,2.54,4.43,146238.55,853221.3133,58.562,-1.321346462,46.03389484,0.288421941,218067
002594.SZ,20160115,59.01,59.8,57.02,58.05,59.9,-1.85,-3.09,109584,639074.9572,58.562,-1.36594395,50.01193134,0.345699892,287308
