shijian,score,Read_count
2013514,0.8818174051019163,86153110578396494256
2013515,0.29969350785340315,500859841642978
2013516,0.45517713445995583,62114997828847388317336795761059676870834674357463402461471
2013517,0.3509849605707848,621113051883874447012175987139806576211130518838744470121759871398065718977735041158
2013518,0.20442775107071057,14475461021588895974747331112916211447546102158889597474733111291621
2013519,0.5096264798641437,5566412230805692629878710110355664122308056926298787101103
2013520,0.4659235934874558,11496791601240218551482175618681064126815286071149679160124021855148217561868106412681528607
2013521,0.31494429471708235,16851153100124381016442626984706128817768299721685115310012438101644262698470612881776829972
2013522,0.40055655554426267,21798351266635653230551980496983012938798688049698301293879868
2013523,0.5249916293130408,574455702460850666507852991104314401053
2013526,0.4743292639138241,813858
2013527,0.6190944471426258,254320915361007
2013528,0.2403802686875646,8368361031613132818766784691092715611150468612331007
2013529,0.34575048729829044,77372898794310956005355987737289879431095600535598
2013530,0.27915644577365023,1280768109866287449669248312807681098662874496692483
2013531,0.5241447899864508,61859321631554200112993765666835455247728387214136066685596185932163155420011299376566683545524772838721413606668559
2013601,0.30450265108831026,1430113313691320119956254787692554812621775132887781090014301133136913201199562547876925548126217751328877810900
2013602,0.31724171444553206,66783165687166488997554010947136568716648899755401094713
2013603,0.1817226361419669,88766611091416140910317829197796811267659569838951801
2013611,0.7486,2217
2013612,0.3867604601877081,6158028021084
2013613,0.15478761228629384,659204115481487576591
2013614,0.5819770707831325,89612295641254840529
2013615,0.3313212580231065,77773210915416726556777016691037974750595907409498
2013616,0.0656,569
2013617,0.7265,1423
2013618,0.20084322100313476,102610179786211462
2013619,0.2365668980104435,830122545511021235554834212012664438321103720818831761
2013620,0.4964730548926014,1361127560654069718371263801
2013621,0.2714198842779817,21581283121314421127547199672647496361710561139622710
2013623,0.24871447543160688,4371069
2013624,0.3165,968
2013625,0.26728388814913445,95223421971727767
2013626,0.4092269371011851,1075484635
2013627,0.18167632261015398,94087899084797248741545628594850
2013628,0.35265574085952534,1035470686984803699
2013629,0.22984374255523535,107681165811101236755446111890514742617107070140710423733763953205021216102066212843284497670
2013630,0.38056679474863914,1687529907
2013701,0.26083989603638724,7001099756523
2013702,0.34896729493698875,1290133972311784486715334366905375075038785115848457833921157607433670457625644651
2013703,0.45665162480022947,1136583676188310289548911355232610117547598612481438620672525860
2013704,0.42713528718207844,84213201005909647638604560107861117945042826760589586
2013705,0.3118232852233677,1205133093214261928158113047687704304751062124961950111184797225954364225495151409
2013706,0.4708816298280866,1014727116146680370170196275165859612011311681709472927761659606148650067461157013661321
2013707,0.5368900066844919,779939604670
2013708,0.5788091790193843,66611894123823699668
2013709,0.6872345543952705,778144154711306401231275184510329037366037406547067971074546547500176195683011209543295
2013710,0.3122742782253402,791236010332806187798880987582364194549193545588267779124374514616805395238056521216
2013711,0.42053362202288896,717100190466867444241787248116736664414206395501152519440541100483367843825464045025136186497277525084324407618349111551957638722629625706586674907801
2013712,0.3699272900442012,419351382071162964791498724271249145180514755068117285944967214112719551014617666651467419351382071162964791498724271249145180514755068117285944967214112719551014617666651467610999572539101266744752355936838131636146938361243646533656387843767711637413713864754704044864517046534893746036014377058064164484245255674044323584411912663611472
