trade_date,close£¨Y£©,change(X2),pct_chg(x3),vol(X4),MACD(X5),slowj(X6),score(X7),read(X8)
20151229,64.55,2.41,3.88,0.762295827,-0.220520137,42.55961787,0.484641666,-0.090155328
20151230,66,1.45,2.25,0.999440466,0.025393001,71.83162049,0.4409467,-0.205179645
20151231,64.4,-1.6,-2.42,0.338390756,0.090135283,100.864814,0.442861698,-0.173947128
20160104,58.76,-5.64,-8.76,0.099594266,-0.310082419,25.06948188,0.504821086,-0.226173341
20160105,59.35,0.59,1,0.528335593,-0.573044068,-8.943104459,0.586655047,0.281970316
20160106,60.42,1.07,1.8,-0.033229492,-0.687181609,8.592682449,0.692747721,-0.42805288
20160107,55.41,-5.01,-8.29,-0.509184105,-1.168432598,22.19331517,0.438302717,0.435367597
20160108,59.43,4.02,7.26,0.833293458,-1.211481863,29.34357697,0.520298007,0.164376014
20160111,57.88,-1.55,-2.61,0.807865205,-1.355050581,14.93783069,0.393261666,0.104526197
20160112,59.82,1.94,3.35,0.416398596,-1.297333189,46.19444444,0.53304517,-0.28188651
20160113,57.36,-2.46,-4.11,0.381771124,-1.433567902,28.50844568,0.526655357,0.300330291
20160114,59.9,2.54,4.43,0.359019319,-1.321346462,46.03389484,0.358421941,-0.045394409
20160115,58.05,-1.85,-3.09,0.055779819,-1.36594395,50.01193134,0.415699892,0.096964272
20160118,57.68,-0.37,-0.64,0.023688984,-1.414834358,59.65501104,0.398391561,0.065314389
20160119,58.87,1.19,2.06,0.285898779,-1.342086566,59.99199574,0.418526078,-0.047826643
20160120,57.74,-1.13,-1.92,0.089770443,-1.359938448,37.60619911,0.583199142,0.006862644
20160121,56.02,-1.72,-2.98,0.103309047,-1.495635069,7.104788526,0.701519546,0.046985254
20160122,55.16,-0.86,-1.54,0.16691451,-1.6535098,-9.617499028,0.327150985,0.337574517
20160125,55,-0.16,-0.29,-0.108080559,-1.771120944,1.804387731,0.347836463,0.203330822
20160126,49.97,-5.03,-9.15,0.403507677,-2.244336275,15.59832907,0.417683078,0.286296115
20160127,48.18,-1.79,-3.58,0.24834303,-2.732304567,15.92759149,0.419639622,0.213836922
20160128,45.3,-2.88,-5.98,-0.072962917,-3.313222124,0.985611932,0.412096216,0.05710894
20160129,47.59,2.29,5.06,0.024090385,-3.547921381,15.40737542,0.308271632,-0.036214421
20160201,48.6,1.01,2.12,0.112935231,-3.610800613,18.90032456,0.399611596,-0.416401595
20160202,50.46,1.86,3.83,0.019290861,-3.470540175,45.68616439,0.566931273,0.410570323
20160203,50.41,-0.05,-0.1,-0.298333562,-3.325087807,58.15702061,0.480740282,-0.401672496
20160204,51.21,0.8,1.59,-0.258121715,-3.109418997,68.12114666,0.324847189,0.191223108
20160205,50.07,-1.14,-2.23,-0.305688751,-2.995952904,62.72122971,0.286947868,-0.309671135
20160215,50,-0.07,-0.14,-0.420152375,-2.878497099,71.11313068,0.466941678,-0.020190049
20160216,52.08,2.08,4.16,-0.188790743,-2.587744009,92.01017211,0.489196393,-0.349419555
20160217,53.81,1.73,3.32,0.22457068,-2.192450346,107.5048507,0.538074175,0.19361011
20160218,53.25,-0.56,-1.04,-0.293125687,-1.902434509,98.27194279,0.526937834,-0.266300063
20160219,54.29,1.04,1.95,-0.079143354,-1.570570996,83.58359066,0.457697518,-0.08281545
20160222,54.51,0.22,0.41,0.052774687,-1.275115867,82.03717415,0.358659565,-0.305423463
20160223,54.7,0.19,0.35,-0.030107961,-1.013945999,91.0211474,0.548488618,0.051401517
20160224,55.02,0.32,0.59,-0.025513026,-0.772243726,92.41261694,0.428526262,-0.063861295
20160225,51.8,-3.22,-5.85,0.917287736,-0.830941446,56.36190684,0.678634401,0.005386444
20160226,52.35,0.55,1.06,-0.119368933,-0.823585627,22.64681624,0.57204395,0.351621029
20160229,50.51,-1.84,-3.51,0.176509091,-0.955217556,-11.42774383,0.653853098,0.233251619
20160301,51.54,1.03,2.04,-0.18706394,-0.965297073,7.659172346,0.761498183,-0.105579352
20160302,53.9,2.36,4.58,0.127788564,-0.773931486,50.35576823,0.457750048,-0.433279203
20160303,53.58,-0.32,-0.59,-0.041989006,-0.640708516,77.15277778,0.471337983,0.064662641
20160304,53.7,0.12,0.22,0.107121697,-0.519457374,83.25344953,0.548175659,-0.009110328
20160307,53.95,0.25,0.47,-0.282489217,-0.398597278,68.56935367,0.576522362,0.639603299
20160308,53.11,-0.84,-1.56,-0.206778927,-0.366372448,57.37109659,0.658537422,-0.357820323
20160309,52,-1.11,-2.09,-0.380944528,-0.425496898,49.69498911,0.39119448,-0.362300321
20160310,51.5,-0.5,-0.96,-0.419910144,-0.506856545,35.68264343,0.461899365,0.303060643
20160311,51.26,-0.24,-0.47,-0.51865997,-0.583969014,20.21175408,0.500340891,-0.435789564
20160314,53.33,2.07,4.04,-0.041714429,-0.472601644,41.17474907,0.359685932,-0.073686863
20160315,54.44,1.11,2.08,0.484648631,-0.291415224,73.74680653,0.526636018,-0.099372323
20160316,53,-1.44,-2.65,-0.136499383,-0.261010875,82.29330298,0.625404331,-0.439194281
20160317,55.06,2.06,3.89,0.335123704,-0.069884837,91.37871247,0.530756643,-0.093549765
20160318,56.95,1.89,3.43,0.397202733,0.231423424,91.0519159,0.449807831,-0.106940416
20160321,57.03,0.08,0.14,0.327941088,0.471235613,112.0449968,0.353901432,0.280156934
20160322,57.71,0.68,1.19,0.241418445,0.707997463,101.723124,0.586595444,-0.348965182
