trade_date,close,change,30MA,MACD,slowj,score,n_vol,n_amount,Go
20170710,50.05,-0.62,49.659,0.09120311,26.70551487,0.412717391,-0.611291492,-0.524231985,1
20170711,50.09,0.04,49.659,0.04484339,14.56545135,0.388583871,-0.74423596,-0.629193619,0
20170712,49.84,-0.25,49.659,-0.011932384,8.066412895,0.479165217,-0.538944609,-0.470974451,1
20170713,49.86,0.02,49.659,-0.054683405,14.85025068,0.41893871,-0.762948235,-0.645496367,0
20170714,50.57,0.71,49.659,-0.030916445,41.93899782,0.480225,-0.509703627,-0.441535281,0
20170717,49,-1.57,49.659,-0.137185449,24.59492751,0.563525,-0.342085459,-0.32009153,1
20170718,48.97,-0.03,49.659,-0.221274435,14.12032089,0.495435714,-0.733667638,-0.626773535,1
20170719,49.59,0.62,49.659,-0.235175784,9.35964242,0.530624,-0.672887408,-0.577644306,0
20170720,50.08,0.49,49.659,-0.204298769,60.88632172,0.430754286,-0.635914404,-0.545359866,0
20170721,50.49,0.41,49.659,-0.145072632,105.5460142,0.54975641,-0.389643253,-0.345358404,0
20170724,49.89,-0.6,49.659,-0.144880387,87.03508772,0.320015,-0.394072228,-0.35692739,1
20170725,49.39,-0.5,49.659,-0.182964748,44.42901235,0.523764706,-0.606388399,-0.525411721,1
20170726,48.9,-0.49,49.659,-0.249806174,-4.757575758,0.499416667,-0.449805069,-0.408497151,1
20170727,49.1,0.2,49.659,-0.283373602,-8.363636364,0.404489474,-0.612813344,-0.533113149,0
20170728,49.47,0.37,49.659,-0.276927871,18.22863556,0.4059,-0.704427348,-0.602510652,0
20170731,49,-0.47,49.659,-0.306214801,27.7639891,0.489162069,-0.451965143,-0.408916018,1
20170801,49.06,0.06,49.659,-0.32088445,24.29052429,0.52168125,-0.531498992,-0.47069654,0
20170802,48.5,-0.56,49.659,-0.373393326,-3.338104548,0.4480125,-0.445707872,-0.407944365,1
20170803,48.67,0.17,49.659,-0.396716311,0.442243392,0.486407143,-0.462405752,-0.422056102,0
20170804,48.51,0.02,49.659,-0.423231853,-0.220283321,0.585225,-0.741730057,-0.635179714,0
20170807,48.91,0.4,49.659,-0.407274152,31.15483378,0.41894,-0.698730565,-0.600719036,0
20170808,49.21,0.3,49.659,-0.366198755,67.22679748,0.434614286,-0.587548755,-0.513723983,0
20170809,49.13,-0.08,49.659,-0.336225737,87.16829842,0.587972222,-0.705317657,-0.604567569,1
20170810,48.73,-0.4,50.57866667,-0.340819803,55.37683094,0.552564706,-0.715983175,-0.613965109,1
20170811,47.85,-0.88,50.57866667,-0.410734586,4.842006289,0.42956,-0.367146558,-0.354869136,1
20170814,48.2,0.35,50.57866667,-0.432910162,-2.282088334,0.58429375,-0.734559214,-0.631878805,0
20170815,48,-0.2,50.57866667,-0.461305155,10.01012514,0.316385714,-0.680463272,-0.591549184,1
20170816,48.26,0.26,50.57866667,-0.457554165,37.70380661,0.474172727,-0.68596716,-0.595787136,0
20170817,48.32,0.06,50.57866667,-0.444614738,40.78921618,0.485272727,-0.747373521,-0.641193065,0
20170818,48.55,0.23,50.57866667,-0.411062598,58.59702399,0.392885714,-0.684795052,-0.592118882,0
20170821,48.66,0.11,50.57866667,-0.371315905,67.58414431,0.36514,-0.659529081,-0.571807858,0
20170822,48.16,-0.5,50.57866667,-0.375829853,51.1880189,0.560854545,-0.615225851,-0.539879007,1
20170823,48.27,0.11,50.57866667,-0.366308533,42.33324996,0.600773913,-0.806430252,-0.685832881,0
20170824,48,-0.27,50.57866667,-0.376212814,19.75383459,0.559190909,-0.658856195,-0.57471425,1
20170825,48.68,0.68,50.57866667,-0.325440239,58.61815853,0.50268,-0.434531846,-0.399449407,0
20170828,49.35,0.67,50.57866667,-0.228505141,90.6303273,0.43515,-0.311303969,-0.298269554,0
20170829,48.42,-0.93,50.57866667,-0.224142827,75.1068797,0.3350775,-0.191367508,-0.217797882,1
20170830,48.39,-0.03,50.57866667,-0.220563887,30.34419831,0.35483,-0.614376769,-0.540501655,1
20170831,48.49,0.1,50.57866667,-0.207269118,-2.33757619,0.480259091,-0.711972233,-0.61304788,0
20170901,48.29,-0.2,50.57866667,-0.210445364,13.35981236,0.505516,-0.663762974,-0.577457993,1
20170904,48.76,0.47,50.57866667,-0.173042759,44.24484365,0.525078261,-0.481451072,-0.434532063,0
20170905,48.88,0.12,50.57866667,-0.132194078,59.21490353,0.42555,-0.677226903,-0.584511889,0
20170906,50.3,1.42,50.57866667,0.014592713,93.57225572,0.47962,0.432571038,0.295023879,0
20170907,49.57,-0.73,50.57866667,0.071196692,78.61140464,0.4679,-0.27672067,-0.26525115,1
20170908,49.82,0.25,50.57866667,0.134676201,69.14107195,0.449915385,-0.558413146,-0.487376904,0
20170911,51.85,2.03,50.57866667,0.344813409,59.45701273,0.479972222,1.14073152,0.926942863,0
20170912,55.81,3.96,50.57866667,0.821418761,85.03048268,0.707267568,4.657005106,4.097683847,0
20170913,54.88,-0.93,50.57866667,1.111278581,89.92752126,0.561283333,1.67414871,1.466614252,1
20170914,54.47,-0.41,50.57866667,1.293006034,80.26863478,0.5317,0.632337657,0.575282272,1
20170915,53.4,-1.07,50.57866667,1.335293857,54.34468485,0.36983913,0.40001296,0.346623885,1
20170918,57.93,4.53,50.57866667,1.714575839,74.72999784,0.693882609,3.241702856,2.937880038,0
20170919,57.25,-0.68,50.57866667,1.937949746,89.5817637,0.440910714,1.431120722,1.352937249,1
