shijian,score,Read_count
20161215,0.249900055,571841
20161216,0.483759704,1351686
20161217,0.50565156,154006
20161218,0.328525948,70930
20161219,0.45428655,58447
20161220,0.279324355,203102
20161221,0.769977447,155611
20161222,0.372758568,186454
20161223,0.395454745,87303
20161226,0.330125989,341903
20161227,0.293273868,549893
20161228,0.243262182,122152
20161229,0.473117771,305310
20161230,0.30925924,146095
20161231,0.346004071,193576
20170101,0.1773,3299
20170102,0.461737895,469233
20170104,0.274987213,146159
20170105,0.521489382,370587
20170106,0.416515619,24086
20170107,0.513185232,179202
20170108,0.644793207,506884
20170109,0.339737745,103509
20170110,0.497672309,1325323
20170111,0.494948923,52313
20170112,0.306230512,256828
20170113,0.482321838,238573
20170114,0.473385151,31349
20170115,0.340998511,281560
20170116,0.408330502,59803
20170117,0.395578463,302582
20170118,0.345912503,145435
20170119,0.318324091,88128
20170120,0.289747991,294925
20170121,0.549678013,167665
20170122,0.32483174,265545
20170123,0.563492359,155563
20170124,0.647324172,82153
20170125,0.560394078,60925
20170126,0.371372393,167452
20170127,0.459235663,152212
20170128,0.268854804,122653
20170129,0.538449406,87181
20170203,0.524305275,113994
20170204,0.628880124,497386
20170205,0.448384569,276530
20170206,0.397779011,23951
20170207,0.760340513,83471
20170208,0.381501292,421571
20170209,0.0725,2793
20170210,0.515202003,233081
20170211,0.383022768,96758
20170212,0.539211958,100766
20170213,0.373054643,96449
20170215,0.523782216,1119836
20170216,0.767904453,328631
20170218,0.49502866,38824
20170219,0.66603335,349054
20170220,0.451804262,190682
20170221,0.525778344,310213
20170222,0.371692604,90912
20170223,0.496230752,306819
20170224,0.275949942,29260
20170225,0.508104121,74695
20170226,0.627136885,189510
20170227,0.391014735,150005
20170228,0.627596114,27175
20170301,0.465418416,453689
20170302,0.28479415,17879
20170303,0.354859939,106364
20170304,0.601467674,634277
20170306,0.599855891,131201
20170307,0.591966971,498712
20170308,0.0283,7482
20170309,0.542745735,112088
20170310,0.503234848,414395
20170313,0.562655904,581618
20170314,0.258381179,15982
20170315,0.408348844,263688
20170316,0.569720011,136629
20170317,0.912547996,21029
20170318,0.479167364,36316
20170319,0.550624213,671069
20170320,0.410934936,127097
20170321,0.514705036,132846
20170322,0.440507142,304683
20170323,0.177465838,100264
20170324,0.412559628,189243
20170325,0.489058727,467050
20170326,0.410125726,84427
20170327,0.0967,16566
20170328,0.541204445,433912
20170329,0.451451718,311312
20170330,0.50833633,477846
20170331,0.360224103,194443
20170402,0.325752069,259569
20170403,0.407213406,249016
20170404,0.367006245,280409
20170405,0.340550069,43690
20170406,0.412189914,42585
20170407,0.534548886,189214
20170408,0.312090524,204518
20170409,0.523576116,363258
20170410,0.439780269,279422
20170411,0.520573062,502516
20170412,0.47882122,183049
20170413,0.325985309,30120
20170414,0.561464746,537816
20170415,0.599680462,40429
20170417,0.444319479,312464
20170418,0.50710441,299780
20170419,0.281797171,163546
20170420,0.498879622,769939
20170421,0.454283691,124594
20170423,0.516989227,98663
20170424,0.499712307,706868
20170425,0.311849721,24527
20170426,0.521365029,248949
20170427,0.509185486,218608
20170428,0.664331415,471993
20170429,0.428914767,191528
20170430,0.776652939,23153
20170501,0.196003712,53777
20170502,0.360909875,322861
20170503,0.475377564,405354
20170504,0.371256,220347
20170505,0.309730445,356319
20170507,0.44577399,47743
20170508,0.46614441,487107
20170509,0.605640067,187221
20170510,0.357396996,739783
20170511,0.507601196,419813
20170512,0.607479111,246758
20170514,0.026838696,3406
20170515,0.412228691,352044
20170516,0.34928706,98334
20170517,0.277733527,121031
20170518,0.429000116,495061
20170519,0.557437875,892019
20170520,0.342665361,186378
20170521,0.627853704,17954
20170523,0.503621374,653092
20170524,0.488155082,174124
20170525,0.376055323,260918
20170526,0.333023637,214160
20170527,0.66297444,67473
20170528,0.518942857,8953
20170529,0.667626044,389123
20170530,0.605409777,150654
20170601,0.487936006,701335
20170602,0.311917559,40242
20170603,0.277193129,318314
20170604,0.502812248,516464
20170605,0.425782711,109997
20170606,0.504925338,446159
20170607,0.426327992,194897
20170608,0.523559956,242924
20170609,0.458468902,241086
20170612,0.493275132,278599
20170613,0.496939948,336306
20170614,0.448768007,537103
20170615,0.685377717,23139
20170616,0.485970393,447058
20170617,0.700763911,50882
20170618,0.582998964,642024
20170619,0.524997087,173727
20170620,0.431727075,300370
20170621,0.385889772,465167
20170622,0.319774858,350818
20170623,0.349895116,107262
20170624,0.492940329,505200
20170625,0.414769324,267540
20170626,0.6247,4168
20170627,0.596659819,820837
20170628,0.471220049,60591
20170629,0.378450505,529863
20170630,0.494784331,135379
20170701,0.476117348,270595
20170702,0.333707762,291614
20170703,0.491480397,63925
20170704,0.456276155,340555
20170705,0.418549503,65180
20170706,0.447586177,267314
20170707,0.379334069,555009
20170708,0.46793673,249001
20170709,0.056378491,56688
20170710,0.3163712,333798
20170711,0.416011281,295495
20170712,0.592736726,344522
20170713,0.315777377,382621
20170714,0.445212897,232055
20170715,0.408048852,192988
20170716,0.464770975,84838
20170717,0.543357161,227321
20170718,0.38586761,20318
20170719,0.296500772,652439
20170720,0.529050662,36323
20170721,0.380276698,385700
20170722,0.551743794,553695
20170723,0.620428583,806721
20170724,0.556364049,201188
20170725,0.452730774,399115
20170726,0.192175129,46066
20170727,0.369079201,378020
20170728,0.446529515,72418
20170730,0.391753303,269997
20170731,0.276543901,291597
20170801,0.043726006,3180
20170802,0.31468639,318684
20170803,0.480279309,346216
20170804,0.335529513,468983
20170805,0.0975,5592
20170807,0.503636406,451954
20170808,0.470694608,302527
20170809,0.214885169,240114
20170810,0.462860334,500922
20170811,0.483036245,63310
20170812,0.326641378,127511
20170813,0.733639571,224884
20170814,0.457873511,283856
20170815,0.204116452,81370
20170816,0.299720877,420499
20170817,0.355195113,60268
20170818,0.175538485,30196
20170819,0.26055059,89969
20170820,0.405324703,206886
20170821,0.235141156,280941
20170822,0.412668985,47857
20170824,0.206973466,129029
20170825,0.469917982,223580
20170828,0.566162126,539048
20170829,0.190096321,138697
20170830,0.391564551,254427
20170831,0.528558241,14148
20170901,0.239768338,422147
20170902,0.168256467,122386
20170903,0.326279568,176593
20170904,0.592794919,1024475
20170906,0.512016445,463016
20170907,0.518381394,86348
20170908,0.127171373,5610
20170910,0.266430238,368459
20170911,0.259291805,370323
20170912,0.347538704,182225
20170913,0.338898475,237597
20170914,0.374583148,273844
20170915,0.572645695,2297553
20170917,0.368517826,201630
20170918,0.482795873,765807
20170919,0.334610644,188088
20170920,0.449968074,696908
20170921,0.475625472,518289
20170922,0.328923885,271523
20170924,0.569587516,298413
20170925,0.476402286,475275
20170926,0.530221457,577420
20170927,0.579679872,457448
20170928,0.344388853,438922
20170929,0.404888794,320091
20170930,0.368654902,109745
20171001,0.386579884,163615
20171002,0.433857979,271234
20171003,0.297067439,168956
20171004,0.590717123,181366
20171005,0.295744511,265725
20171006,0.361982672,4034
20171008,0.52916937,692460
20171009,0.268312264,137268
20171010,0.445873105,1075165
20171011,0.452414897,305195
20171012,0.272147689,303327
