,阅读量,回复量,新闻,日期
137,73,0,狗装赶紧啦，起来给老子干活,12-11 11:44
138,95,0,大豪二锅头顶着，茅五稳着，怕个毛,12-11 11:43
139,91,0,迎驾贡酒涨停了,12-11 11:41
140,107,0,今天过24.4,12-11 11:38
141,188,2,平盘也不错,12-11 11:35
142,81,0,慢慢涨不好吗？别动着就涨停！,12-11 11:35
143,96,0,喝二两小酒，压压惊，这大盘也太难了！,12-11 11:35
144,99,0,心脏不好的不要买白酒,12-11 11:35
145,5811,2,好消息！多家PCB厂商表示HDI产品订单充足！业内对后市保有乐观态度......,12-11 11:30
146,283,3,昨天尾盘下跌出在了最低点怕黑色星期五,12-11 11:24
147,587,8,低端兑水货，味如阴沟水,12-11 11:13
148,1059,22,买不了茅台的，白酒看老白干吧[俏皮][俏皮]干出男人味[色][色],12-11 11:09
149,439,6,明天最小跌5个点,12-11 11:07
150,226,1,主力连续流出还()↗涨[看多],12-11 11:04
151,101,0,今天有对了,12-11 11:00
152,189,1,留下的发财,12-11 10:52
153,300,2,出现风险提示，我减仓了,12-11 10:48
154,187,1,一股一瓶酒总值吧！,12-11 10:43
155,3455,1,三部门联合发文：深入推进“互联网+医疗”！相关概念股有望受益！,12-11 10:39
156,208,1,今天又废了，总起不来,12-11 10:38
157,592,8,像懂酒，郎酒，西凤酒，剑南春这些还没上市吧？兄弟们，把它们刻在脑子里！,12-11 10:29
158,508,5,出不完的货[滴汗],12-11 10:28
159,212,1,今天补涨停,12-11 10:25
160,170,0,酒鬼酒涨停了,12-11 10:24
161,168,0,涨,12-11 10:23
162,117,0,老白干的走势渐弱，象是在费力的弩！,12-11 10:22
163,151,0,OMG卖出操作买入了[色][得意],12-11 10:22
164,153,0,今天悬了啊。,12-11 10:21
165,206,1,老白干,12-11 10:20
166,194,1,喝了这杯老白干，大家继续接着干,12-11 10:19
167,157,0,空间要打开。,12-11 10:18
168,415,3,龙头一字未打开！别怕,12-11 10:15
169,158,0,老白干比舍得差远了,12-11 10:15
170,922,22,有一群人，还在那唱多呢？我前天卖的，稍微赔了点，老白干这个狗庄啥也不是，没力量，,12-11 10:05
171,220,0,直线下降,12-11 10:04
172,193,0,白干,12-11 10:04
173,356,3,今天进的都要被套[大笑][大笑][大笑],12-11 10:03
174,155,0,现在看来是地方酒企中比较差的公司了！,12-11 10:03
175,132,0,弱鸡，涨不起来,12-11 10:02
176,138,0,老白干没劲了！,12-11 10:01
177,153,1,不想做大哥的白酒不是好白酒。,12-11 10:01
178,167,0,你们有没有发现到23.6就难上去了,12-11 10:00
179,142,0,一顿操作猛如虎，一看估价原地杵,12-11 10:00
180,23713,20,醉生梦死继续喝！又创新高了，没上车的彻底酸了！,12-11 10:00
181,211,0,瞅你这没出息的样子,12-11 09:57
182,135,0,老白干老白干,12-11 09:55
183,141,0,走了，留下的发财[鼓掌][鼓掌][鼓掌],12-11 09:54
184,150,0,今日必然涨停,12-11 09:54
185,109,0,假相，我清了留下的发财,12-11 09:53
186,155,0,长期持有，肯定赚钱。,12-11 09:53
187,160,0,真服白酒了[囧],12-11 09:51
188,274,0,大豪只收购了一个二锅头，就涨这么猛老白干收购了4家比较有名的酒股价还没这么吊。猛,12-11 09:50
189,338,2,强势涨停！,12-11 09:46
190,150,0,唉,12-11 09:45
191,307,3,看看其他酒，22算高？,12-11 09:44
192,145,0,今天补涨停,12-11 09:41
193,150,0,又上火箭,12-11 09:41
194,138,0,给我起来，你可是龙头,12-11 09:40
195,181,0,大盘调整结束，上攻3500点，茅台调整结束，冲击2000……,12-11 09:40
196,149,0,喝酒只喝老白干,12-11 09:40
197,212,1,快追,12-11 09:39
198,194,0,快涨停了,12-11 09:38
199,139,0,入袋为安，赚一波,12-11 09:38
200,2873,15,老白干酒(600559)明天如不涨停，我敢倒着走,12-11 09:36
201,220,1,今天涨停，京东买一箱老白干,12-11 09:35
202,123,0,对子号,12-11 09:34
203,211,0,今天周五，建议要么不买要么下午尾盘买，早上买的全站岗，此贴为证[呲牙],12-11 09:33
204,150,0,低开正好买点,12-11 09:32
205,194,1,你们卖，我低接,12-11 09:31
206,159,0,感觉和昨天一个走势,12-11 09:31
207,160,0,我一买就是跌，你们接手吧,12-11 09:30
208,157,0,破五日线了,12-11 09:27
209,178,0,竞价太丑了22.88，完了，出货的信号,12-11 09:26
210,157,0,你们杀跌卖，结果是又被别人抄底，信不信由你！,12-11 09:25
211,185,0,今天必涨停板[大笑],12-11 09:23
212,164,0,让它休息休息接着干，当不我们可不要出手呀！,12-11 09:23
213,173,0,茅子哥红了,12-11 09:22
214,229,1,今天跌停了,12-11 09:21
215,166,0,嘛的你高开冲[偷笑],12-11 09:21
216,139,0,涨快了，磨一磨,12-11 09:20
217,4449,72,小心暴跌,12-11 09:20
218,175,0,回调两天,12-11 09:19
219,444,3,老白干酒强者更强，弱者回家种韭菜,12-11 09:16
220,245,1,哎，18割肉的，20多又买回来。我真的是不适合炒股,12-11 09:15
221,1657,3,去年25元买的酒鬼酒，耐不住寂寞抛了,12-11 09:34
222,234,1,酱香酒，十大品牌武陵酒都排不上，别吹了,12-11 09:28
223,223,1,昨天主力筹码松动,12-11 09:17
224,2124,0,老白干酒——抱酒取暖。老白干酒一直深耕河北市场，其在河北及华北地区有较高的知名度,12-11 09:15
225,241,1,尾盘入的忘了这是顶离，价涨量不涨僵尸抬头，我怂了，今天不放巨量就没了,12-11 09:14
226,554,4,五连阳了，还要进赌性都这么大么,12-11 09:14
227,578,7,老白干62度的白酒一箱4瓶1600元，茅台飞天2000元一瓶，一瓶飞天茅台买五瓶,12-11 09:11
228,174,1,20进去一手大手！！！弹尽粮绝了！！！虽然少心里很轻松，借呗，花呗，闺蜜的钱都还,12-11 09:09
229,231,0,既买股票也买酒，一个也不能少。,12-11 08:56
230,205,0,跌下来就是买入机会,12-11 08:52
231,221,1,今天白酒板块八成回调,12-11 08:50
